date,updated_at,price
24 August 2020,Midday,702.5
21 August 2020,Closing,710
21 August 2020,Midday,710
19 August 2020,Midday,715
19 August 2020,Midday,717.5
18 August 2020,Closing,715
18 August 2020,Midday,717.5
17 August 2020,Closing,720
17 August 2020,Midday,722.5
14 August 2020,Closing,715
14 August 2020,Midday,725
13 August 2020,Closing,722.5
13 August 2020,Midday,725
12 August 2020,Closing,712.5
12 August 2020,Midday,697.5
11 August 2020,Closing,710
11 August 2020,Midday,717.5
10 August 2020,Closing,715
3 August 2020,Midday,707.5
30 Jul 2020,Closing,690
30 Jul 2020,Midday,682.5
29 Jul 2020,Closing,685
29 Jul 2020,Midday,682.5
28 Jul 2020,Closing,675
28 Jul 2020,Midday,675
27 Jul 2020,Closing,695
27 Jul 2020,Midday,712.5
24 Jul 2020,Closing,715
24 Jul 2020,Midday,700
23 Jul 2020,Closing,690
23 Jul 2020,Midday,685
22 Jul 2020,Closing,685
22 Jul 2020,Midday,690
21 Jul 2020,Closing,677.5
21 Jul 2020,Midday,675
20 Jul 2020,Closing,672.5
20 Jul 2020,Midday,675
17 Jul 2020,Closing,662.5
17 Jul 2020,Midday,652.5
16 Jul 2020,Closing,652.5
16 Jul 2020,Midday,655
15 Jul 2020,Closing,645
15 Jul 2020,Midday,637.5
